name,predicted_rating_kuby
12 Angry Men,8.332898099985506
12 Years a Slave,8.627468189531491
1917,8.693347815371837
2001: A Space Odyssey,7.999485529711678
A Beautiful Mind,8.27469979148824
Alien,9.617039050128142
Aliens,9.087461569290307
All About Eve,8.275201077202338
Amadeus,6.924226408874022
American Beauty,9.338299881502463
Amores perros,9.52788998385271
Avengers: Endgame,8.344104840094522
Avengers: Infinity War,8.61552694084557
Babam ve Oglum,6.470975052779178
Bacheha-Ye aseman,6.884296221433146
Back to the Future,9.571753724259969
Batman Begins,8.315976420271806
Before Sunrise,8.035401383694088
Before Sunset,7.938997445904359
Ben-Hur,6.706571510517381
Blade Runner,8.006287662378346
Braveheart,8.28693000724807
Capharnaüm,9.61647922426167
Casablanca,7.275101298199955
Casino,6.970631486627754
Chinatown,9.716994058649043
Cidade de Deus,9.759667426951278
Citizen Kane,7.676817109937295
City Lights,5.2539826994851
Coco,6.66486230717298
Cool Hand Luke,8.375949728294104
Dangal,9.82977244514299
Det sjunde inseglet,9.82977244514299
Dial M for Murder,9.550250973472796
Django Unchained,7.191032654844313
Double Indemnity,8.095336025033678
El secreto de sus ojos,8.077055966741472
Eternal Sunshine of the Spotless Mind,9.55679882282976
Everything Everywhere All at Once,8.39639738329815
Fargo,9.557655906657283
Fight Club,9.739543955893279
Finding Nemo,9.060356815223225
Forrest Gump,9.27275152659895
Full Metal Jacket,8.86260241751649
Gandhi,8.26219789602544
Gisaengchung,8.926733912220255
Gladiator,9.117677288081158
Gone Girl,9.67728152670043
Gone with the Wind,8.371392134535164
Good Will Hunting,9.376740134451516
Goodfellas,7.587802251466555
Gran Torino,8.002360514888336
Green Book,9.60203219104226
Groundhog Day,8.304930510013877
Hachi: A Dog's Tale,6.301891904119358
Hacksaw Ridge,8.263747539902782
Hamilton,8.860978370342412
Harry Potter and the Deathly Hallows: Part 2,9.629858932271528
Hauru no ugoku shiro,5.835646668494348
Heat,9.41339307815498
Hotaru no haka,6.937689584754509
