name,"predicted_('rating_kuby',)"
12 Angry Men,6.265746675335288
12 Years a Slave,7.560365767188355
1917,6.751971908506962
2001: A Space Odyssey,8.52425691393783
3 Idiots,8.043755937789504
A Beautiful Mind,8.127923311358838
A Clockwork Orange,8.402045886575118
Ah-ga-ssi,6.700031272858638
Aliens,5.128664288540783
All About Eve,7.243534501830493
Amadeus,7.115276290372103
American Beauty,6.632687436233041
American History X,8.27602998734873
Amores perros,6.109233688417935
Apocalypse Now,6.267611535659302
Babam ve Oglum,6.090490212240195
Bacheha-Ye aseman,6.0924989543430765
Barry Lyndon,8.213257776376008
Batman Begins,8.626945242916538
Before Sunrise,8.394352183790946
Before Sunset,8.678811738789
Ben-Hur,8.441860795001931
Blade Runner,6.518818580355889
Braveheart,7.783026776795607
Capharnaüm,7.514230601238352
Casablanca,8.58455060773276
Casino,8.883000271033955
Chinatown,5.9427503459909286
Cidade de Deus,7.823104270549642
Citizen Kane,6.626947454541308
City Lights,7.665616030242309
Cool Hand Luke,8.27731412916234
Dangal,6.77543360016028
Dead Poets Society,5.646213962128641
Der Untergang,7.845835888661331
Dersu Uzala,8.417339211779618
Det sjunde inseglet,5.989607613083443
Dial M for Murder,5.9144307738567266
Django Unchained,8.630810800812215
Double Indemnity,7.311727769486154
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,6.014688211973342
El secreto de sus ojos,8.076985930259891
Eternal Sunshine of the Spotless Mind,8.345443563277515
Everything Everywhere All at Once,7.398298131134387
Fargo,6.49194383792104
Ford v Ferrari,6.641019593583513
Full Metal Jacket,6.7539949346262445
Gandhi,8.108247325613386
Gisaengchung,6.323469936343677
Gladiator,8.472860343597695
Gone Girl,6.195280177333399
Gone with the Wind,8.808413952747408
Good Will Hunting,5.878104748145089
Goodfellas,8.474999625569243
Gran Torino,7.968889658334823
Green Book,7.0185962340970764
Groundhog Day,8.36758812645579
Hachi: A Dog's Tale,6.396422146131511
Hacksaw Ridge,8.77689388616488
Hamilton,7.0185962340970764
Hauru no ugoku shiro,6.027204773747413
Heat,8.039453153946535
Hotaru no haka,8.31875037381351
Hotel Rwanda,8.429472190987621
Idi i smotri,6.070011258781812
Ikiru,8.054097575059762
"Il buono, il brutto, il cattivo",8.056454615170857
In the Name of the Father,8.285543410923099
Incendies,6.951926876232486
Inglourious Basterds,7.311644742642047
Interstellar,8.778104283704561
Into the Wild,7.951210882172914
It Happened One Night,8.645086206711214
It's a Wonderful Life,5.528947417276706
Jagten,6.846574647166641
Jai Bhim,7.0185962340970764
Jaws,5.784278289551485
Jodaeiye Nader az Simin,6.824718987566129
Judgment at Nuremberg,8.331107832809934
Kimi no na wa.,7.351166138191379
L.A. Confidential,7.0185962340970764
La battaglia di Algeri,7.148362681358839
La haine,7.400658659988611
La passion de Jeanne d'Arc,6.798818350001776
La vita è bella,8.590406973275176
Ladri di biciclette,7.832139294732931
Lawrence of Arabia,8.199631897217321
Le fabuleux destin d'Amélie Poulain,8.747674898316943
Le salaire de la peur,5.8327471204309544
Les quatre cents coups,8.274246405484737
Life of Brian,8.476276917309661
"Lock, Stock and Two Smoking Barrels",7.623116074606446
Logan,7.908856663706113
Léon,6.850154677792317
M - Eine Stadt sucht einen Mörder,5.732117563766605
Mad Max: Fury Road,8.368153835684648
Mary and Max.,8.128673278500365
Memento,6.246155639898353
Metropolis,7.842106804819315
Million Dollar Baby,8.214035181461407
Modern Times,7.66710478858787
Mononoke-hime,7.635016440587827
Mr. Smith Goes to Washington,8.258945419371166
Network,6.952403238005839
No Country for Old Men,6.47894794289117
North by Northwest,6.765158155834304
Nuovo Cinema Paradiso,8.741223119475851
Oldeuboi,6.726091867178225
On the Waterfront,5.339051541756977
Once Upon a Time in America,8.948284575844806
Once Upon a Time in the West,8.55325991603495
One Flew Over the Cuckoo's Nest,8.086231773943828
Pan's Labyrinth,7.34666617053694
Pather Panchali,8.054507860745497
Paths of Glory,6.301737308271043
Per qualche dollaro in più,8.503624839890023
Persona,5.760749903188161
Platoon,8.59562677310278
Prisoners,7.545871873533199
Psycho,5.873911446981807
Raging Bull,8.806870805093158
Raiders of the Lost Ark,6.27684962349305
Ran,7.507630878943753
Rashômon,7.615944495257715
Rear Window,5.897539548554537
Rebecca,6.025032650197927
Relatos salvajes,6.146691860462758
Requiem for a Dream,6.860699625349725
Reservoir Dogs,5.99494950314279
Rocky,7.61116999923033
Room,6.204057536682511
Rush,6.529092985371035
Salinui chueok,7.42191116268232
Saving Private Ryan,6.516736735346464
Scarface,7.384176188221329
Schindler's List,6.517495095738151
Sen to Chihiro no kamikakushi,6.08072229550453
Seppuku,6.372630334083743
Sherlock Jr.,8.061856486928283
Shichinin no samurai,6.9427205707414705
Shutter Island,6.074545150607283
Singin' in the Rain,8.219526338942128
Smultronstället,8.15928695729116
Snatch,7.988797459566783
Some Like It Hot,8.917381405936656
Spotlight,6.850168500475951
Stand by Me,8.462477780413275
Sunset Blvd.,7.072544240648577
Taare Zameen Par,6.348589462404257
Taxi Driver,8.904938266249808
Tengoku to jigoku,6.733661045156913
Terminator 2: Judgment Day,5.298853949473746
The Apartment,8.910229560958918
The Best Years of Our Lives,7.21715706398898
The Bridge on the River Kwai,8.278311514253222
The Dark Knight,8.248142475183503
The Dark Knight Rises,8.602829710272012
The Deer Hunter,8.82824540868348
The Departed,6.26092368997707
The Elephant Man,7.1088247534557505
The Empire Strikes Back,6.425827257541297
The Father,7.0185962340970764
The General,6.569013981941028
The Godfather Part II,6.159685903841513
The Gold Rush,7.501033527359228
The Grand Budapest Hotel,7.23553588070926
The Grapes of Wrath,6.864601763389281
The Great Dictator,6.675710913552886
The Great Escape,8.51422301803548
The Help,6.75133040738479
The Kid,5.527288653479493
The Lives of Others,6.166087759697411
The Pianist,6.611302869588681
The Prestige,8.64689245555152
The Silence of the Lambs,6.155166352959201
The Sixth Sense,6.17689832803117
The Sound of Music,6.314494564613333
The Sting,8.592172513206364
The Thing,7.444034330135486
The Third Man,5.799077577173162
The Treasure of the Sierra Madre,7.346987975359154
The Usual Suspects,7.0185962340970764
The Wizard of Oz,5.338277643076472
The Wolf of Wall Street,7.812526316668756
There Will Be Blood,8.351737047561437
"Three Billboards Outside Ebbing, Missouri",7.901038886912242
To Be or Not to Be,8.616439971058153
To Kill a Mockingbird,7.401288564933489
Tonari no Totoro,5.963460282847412
Top Gun: Maverick,6.81513058591738
Toy Story 3,5.401964161073969
Trainspotting,7.098077287268884
Tôkyô monogatari,8.055592526714165
Unforgiven,8.426542938958962
V for Vendetta,8.808222036674017
Vertigo,6.321285269524051
WALL·E,5.865497299148752
Warrior,7.3675243215909
Whiplash,7.686313177713419
Witness for the Prosecution,7.672502037200957
Yôjinbô,5.715108067546573
